date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SLE,SLV,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE,avg_emission
2000-01-01,152.1,135.404,81.2128,3.8646,2813.6408,19.353,0.8589,1834.203,182.1706,65.8448,12.2667,237.8076,54.8586,163.3656,775.51,63.6309,0.4848,0.048,51.624,362.4828,3.0295,396.46,9969.0652,1.3854,0.0945,12.7694,88.3,103.6723,847.485,150.2501,248.2352,5150.208,44.675,192.124,26.4206,2.8155,0.0132,1486.3309,1.7685,0.808,85.8174,242.7989,2.0307,124.4784,1270.5478,9.849,0.878,165.38,119.8838,64.5483,268.6448,133.5321,72.67,494.6312,27.2199,1123.5106,93.8796,22.4018,1677.5432,0.2071,0.9965,1.2648,877.929,47.1376,45.564,97.843,3.7105,12.3056,17.6236,0.165,58.8942,0.2604,148.3608,0.53,7.5938,0.0763,106.58,46.5045,84.15,72.2987,545.1265,6683.818,531.6687,331.6329,50.72,6.5745,14.64,626.5972,23.2325,2.5099,257.6809,246.3008,436.5836,59.3941,149.7223,0.2662,110.0705,0.7496,56.8451,3.0864,1.2374,5.3796,0.5811,40.7128,24.0064,91.5414,16.5651,39.2592,105.2072,38.7824,360.148,1773.0452,24.2247,202.3743,2.1451,582.4134,210.4686,30.36,53.5769,1.6663,0.924,25.5792,39.1908,83.4578,6.8392,191.9225,507.5981,199.7257,0.0112,371.31,84.5685,232.2547,724.6414,10.248,869.826,78.7806,292.7385,119.1999,5.481,527.9418,23.9195,28.923,123.038,557.201,0.9893,0.718,0.5998,1.2161,273.096,2383.3267,26.4522,10.6448,103.6913,0.0102,0.9242,7.0,64.2331,181.698,0.1437,6.3406,54.1083,40.2175,138.1446,20.7752,0.0563,38.8437,375.495,9.5839,230.7558,63.9145,87.0485,6.0714,0.712,1.965,32.794,438.2011,10.204,585.816,212.796,922.608,601.321,6425.024,324.7572,0.3581,887.6045,201.1948,9.5209,1.8245,45.84,450.05,87.6216,214.6545,353.0941864583333
2001-01-01,119.621,133.4082,79.4174,4.0957,2823.7298,20.1525,0.8874,1842.734,181.6736,70.4755,12.3591,238.2643,56.9219,166.633,778.56,60.2688,0.4379,0.0482,49.17,353.74,3.3413,373.0655,10345.2606,1.2731,0.0913,11.5407,84.001,106.0,867.9448,151.7209,242.9279,4978.875,45.6501,189.9433,25.4786,2.9045,0.0117,1497.0928,1.8445,0.7848,82.0433,238.8033,2.0252,123.4857,1258.1174,9.8781,0.8781,166.8872,124.926,66.7373,284.9688,145.0343,67.65,510.4866,25.7514,1205.766,91.9662,22.7444,1671.1165,0.214,0.9986,1.2648,836.625,47.3424,46.025,103.1704,3.6076,11.0163,17.665,0.1666,55.9865,0.2615,153.1698,0.53,7.2942,0.0754,111.285,47.2294,84.768,67.996,551.0092,6659.812,532.8186,324.7029,56.096,6.3886,14.4,558.7416,23.1917,2.7059,254.0167,253.6304,427.2276,60.4413,143.7744,0.2628,101.5344,0.7496,59.7406,3.1332,1.2374,5.3802,0.5822,40.91,24.8579,80.1654,16.5149,38.4396,103.4572,35.7548,305.6,1779.6353,23.7294,208.5582,2.1025,596.2226,173.358,28.6604,55.0357,1.663,0.412,25.1239,40.2157,83.7242,6.8392,203.9478,508.1038,201.2163,0.0112,371.286,83.3891,231.4851,752.3072,10.746,886.426,89.6549,296.1563,120.0142,5.5465,502.2525,24.1263,28.52,120.5479,565.8958,1.1103,0.5606,0.4032,1.3153,261.512,2326.8122,29.4196,11.1888,106.2957,0.0102,0.9242,5.28,74.2188,187.144,0.144,5.2002,52.5083,41.6189,135.4298,17.9054,0.047,33.4288,395.161,9.6777,233.2991,65.7139,99.2096,8.4538,0.709,1.9637,32.966,425.725,10.1005,600.384,219.108,826.456,615.435,6364.631,329.2239,0.3469,905.0262,190.553,8.8719,1.8124,48.0,446.85,90.3,217.974,352.98399479166665
2002-01-01,196.135,130.1055,77.7762,4.323,2998.4,20.7775,0.9002,1848.951,178.4598,71.1616,11.193,227.3201,58.3672,169.9657,781.9,57.253,0.6377,0.0466,45.8175,341.862,3.3033,383.0121,10868.967,1.1524,0.081,11.374,68.0653,108.4672,874.8168,149.7472,239.734,4743.782,46.6473,183.025,24.4505,3.0009,0.0103,1515.6221,1.9128,0.83,78.4235,234.7912,2.2019,119.2319,1229.5758,9.8783,0.8781,160.2554,129.2425,61.4546,301.5073,154.592,67.1,512.6285,26.0565,1362.0166,90.9865,21.5046,1622.7029,0.2163,0.999,1.2649,818.649,48.9931,46.55,108.6541,5.0663,11.1398,17.695,0.1665,54.2666,0.2615,156.2576,0.53,6.6944,0.0741,124.6578,46.0769,85.37,66.1239,559.2226,6612.998,527.8161,301.925,53.1483,6.1483,13.0467,595.6295,23.159,2.8048,255.5708,263.8071,442.0793,61.8412,146.4495,0.2633,101.3507,0.905,59.9171,3.524,1.2375,5.94,0.5993,39.4821,21.9011,80.4321,15.9474,39.9186,105.6772,38.4121,275.3164,1825.1192,23.4398,232.881,2.0924,612.6849,117.9008,34.204,55.1973,1.4096,0.3416,24.6684,38.4922,77.6957,6.9204,215.8547,509.7452,204.4106,0.0112,359.004,81.5083,231.3769,784.9907,10.9646,903.602,89.7166,304.4992,122.5242,5.6108,485.2573,24.3098,28.6347,119.3718,530.428,1.2555,0.4167,0.4434,1.3343,256.6732,2299.1456,29.3794,11.7157,103.0683,0.0102,0.9243,5.28,79.5268,189.361,0.1502,2.4153,50.6096,40.2411,134.4414,18.7373,0.0541,34.9692,415.851,9.8793,242.6452,67.3495,108.6505,8.2452,0.709,2.0452,32.946,407.8171,9.677,618.369,232.496,824.6888,653.636,6338.0,332.8009,0.3304,922.9137,197.5304,8.7987,1.8125,48.496,449.07,84.7616,195.684,356.4103244791667
2003-01-01,199.441,126.8022,78.0104,4.5499,3216.9185,21.6373,0.913,1770.0168,173.1818,74.2737,11.9971,216.9756,59.6782,248.9368,786.4,60.864,0.4798,0.0503,49.17,335.244,3.3517,393.2096,11454.5301,1.0341,0.0809,11.4352,69.246,110.929,857.155,146.7928,240.044,4661.109,47.5242,189.5,24.4149,3.233,0.0099,1519.1578,1.572,0.7963,74.6814,237.8794,2.2094,115.4676,1186.9283,9.8785,0.8782,154.6128,129.8345,63.3324,299.521,158.9923,69.4786,514.3273,24.6657,1308.48,88.7413,21.317,1567.6395,0.2147,1.0027,1.2305,826.9935,50.2645,47.058,114.6109,4.3867,13.3845,17.885,0.1681,52.9451,0.2644,144.4545,0.53,6.6946,0.0737,144.9309,46.1035,85.751,66.0809,521.8609,6587.5508,527.6385,303.4402,48.8,6.028,13.44,567.5347,24.8364,2.7152,253.3813,278.8239,481.6349,63.0398,149.3451,0.2633,103.1805,0.9933,61.0647,3.5172,1.2375,5.654,0.5993,40.3921,23.0131,82.4958,15.3207,39.7953,106.5852,39.061,279.9044,1828.8809,23.1058,243.1001,2.0569,622.0536,121.0178,37.952,56.375,1.3629,0.3192,25.6549,39.7227,77.935,6.9013,228.4309,510.2584,213.1081,0.0112,353.172,81.146,231.254,799.0702,11.6932,921.165,87.7923,306.4213,124.2938,5.6699,483.586,25.4421,28.837,117.8419,579.9335,1.3717,0.5436,0.3963,1.3855,262.1424,2234.1897,35.2895,12.1318,104.2531,0.0102,0.9297,5.965,75.8614,188.675,0.1568,2.3099,49.4898,40.3127,131.4095,21.3081,0.0475,37.328,437.661,9.9035,255.3305,70.2646,120.0123,7.4044,0.709,1.9154,30.2921,394.3738,9.5615,635.528,248.913,795.4852,678.892,6297.282,336.7212,0.2998,931.71,214.4891,9.2101,1.8761,50.928,445.066,80.2151,187.27,359.9483942708334
2004-01-01,182.926,123.176,75.4722,4.05,3272.1091,22.7629,0.9322,1819.004,169.8334,76.7958,12.5982,213.2354,61.1701,253.9149,788.0,63.409,0.3962,0.054,50.3896,327.3966,3.3517,403.6822,11977.5896,0.9167,0.0668,11.4264,70.025,113.436,914.6678,143.8095,243.4956,4678.004,48.4731,192.775,24.3686,4.8345,0.0088,1526.9393,1.6055,0.842,70.7633,231.9163,2.2614,111.3443,1153.0104,9.96,0.8782,147.8581,147.2071,66.6834,305.8919,164.3373,70.76,516.3131,24.9636,1299.978,85.6455,20.844,1545.0948,0.2084,1.0039,1.2306,824.6655,48.6274,47.583,120.8975,4.1702,13.7904,17.9,0.1684,58.6124,0.2644,152.5915,0.6534,6.6948,0.0743,147.8298,47.7532,85.84,63.54,522.7847,6693.448,528.6903,309.665,53.376,5.9019,13.12,567.646,22.2061,2.865,250.2451,295.9654,499.2172,63.4243,152.0942,0.2636,110.9176,1.0147,62.8809,3.2727,1.2375,5.9753,0.6109,41.1837,22.8337,84.2373,15.0604,37.8243,108.0216,35.6467,283.36,1816.8688,22.8393,252.9031,1.9595,633.2682,106.975,43.6471,49.058,1.4686,0.3233,25.665,41.4585,77.0505,6.9013,242.4668,528.305,207.7361,0.0112,349.971,79.8199,232.2251,800.4133,12.1402,939.159,86.7598,306.3321,124.7251,5.7348,470.017,23.6129,28.328,118.197,550.9854,1.345,0.6157,0.4039,1.4718,260.02,2085.3709,35.883,12.5633,105.2554,0.0102,0.9585,7.0,76.1503,190.65,0.1269,2.514,47.8291,38.1676,132.8709,21.5183,0.0403,41.216,460.576,10.0773,268.2491,75.476,128.0137,6.7656,0.709,1.9366,28.9682,375.2308,9.3481,636.8078,252.819,686.9078,693.046,6223.172,365.5625,0.2998,945.522,239.8721,9.3278,1.9398,51.5268,443.934,78.993,181.385,363.11727291666665
2005-01-01,196.367,134.5536,75.1498,2.0468,3284.5111,22.9854,0.9323,1833.178,169.5948,79.7363,13.3537,209.261,61.322,258.9924,791.05,60.0956,0.3831,0.0548,51.3365,327.7998,3.3387,414.1979,12137.9465,0.7994,0.0594,12.8124,72.5,115.975,933.0008,144.4989,243.2619,4640.984,49.4425,196.05,24.3226,6.4384,0.0088,1573.0258,1.639,0.9575,74.638,216.8485,2.1521,109.5733,1136.7735,9.9776,0.8783,141.2352,130.456,65.0042,298.2878,169.02,72.15,500.4211,24.4749,1339.2231,84.3189,21.3191,1534.3716,0.1896,1.0061,1.2307,828.3501,48.6816,48.091,127.5281,4.1894,13.858,18.235,0.169,56.9929,0.2644,157.2917,0.7308,6.695,0.0739,150.7684,48.1752,86.084,62.2839,524.3899,6812.5328,519.6159,317.3066,57.664,5.9618,13.344,548.9249,20.7697,2.7998,245.5791,314.0369,483.1197,65.2756,159.2892,0.2947,117.0892,0.9921,62.4523,3.1616,1.2376,6.1762,0.6109,42.1007,24.6891,82.4413,14.9262,37.3443,108.0944,31.7732,329.5044,1801.5857,22.3993,262.9086,2.0838,643.0277,115.6142,48.926,49.549,1.2891,0.2744,26.3011,41.3096,103.8094,6.2123,255.3048,535.394,214.0919,0.0113,350.787,78.7119,233.5172,795.1186,11.019,957.458,91.5835,310.5676,119.7479,5.7997,477.5074,22.9253,28.3898,120.8098,563.4346,1.4006,0.4642,0.2661,1.566,252.944,1925.6148,35.9603,12.9561,107.0074,0.0102,0.9586,8.795,76.2359,194.0,0.1089,2.2249,43.8487,38.4722,130.6055,21.705,0.032,43.6254,484.722,10.4248,284.0077,81.1786,129.5098,6.906,0.709,1.9403,30.3622,386.1886,8.9511,649.5109,260.89,618.7338,693.972,6235.072,386.6468,0.2979,969.2159,270.6295,9.5499,1.9398,52.0878,453.58,86.3361,180.737,365.5200229166667
2006-01-01,214.39,137.474,73.033,2.1446,3359.5357,23.6991,0.9323,1867.5508,166.6501,84.5654,14.3916,206.2013,64.4496,264.1716,795.84,55.9364,0.3831,0.054,55.8839,326.7228,3.9025,425.1611,12070.6009,0.6509,0.0531,10.2398,73.15,119.1,915.7002,145.0722,238.1341,4551.944,50.4321,196.4653,24.2765,8.0375,0.0088,1576.6488,1.7045,0.993,72.3,218.5743,2.106,107.3689,1109.2077,9.849,0.8775,137.961,132.6205,64.1671,302.8335,173.095,68.6802,476.7373,24.1785,1446.3167,83.0118,21.3201,1534.7345,0.1828,1.0052,1.2307,814.887,45.3072,47.703,134.7462,4.328,13.9594,18.92,0.1702,57.7955,0.2644,162.0152,0.77,6.6952,0.0767,148.0518,48.5701,85.498,60.8134,539.4458,6910.7672,520.9539,320.2056,41.28,6.239,14.912,546.0893,12.1839,2.8384,244.6319,327.1506,490.3207,67.9012,167.3156,0.3678,125.8166,1.1463,64.848,3.1664,1.2689,7.5744,0.6282,42.3311,22.8672,81.9414,14.7338,38.1576,110.118,29.8572,331.8453,1811.845,23.155,267.9205,2.107,655.8241,126.8358,42.696,59.8,1.4047,0.2819,26.4235,41.1134,79.5117,5.4115,266.8625,541.3467,220.1198,0.0112,344.412,77.5788,233.7653,802.7499,11.2349,1153.6855,91.3801,310.6415,121.2329,5.8646,486.4532,22.9783,28.789,119.3994,571.7356,1.4946,0.4771,0.2966,1.5731,259.436,1811.4404,40.2354,13.6396,108.7769,0.0101,0.9928,12.31,79.7716,188.675,0.0891,2.5177,42.9196,37.529,129.2605,20.51,0.0224,45.4441,510.148,10.5082,303.5275,86.652,132.1581,7.0151,0.709,1.908,31.2008,403.853,8.6036,683.5,268.1392,580.6854,721.8138,6336.5952,407.3999,0.2995,971.3509,317.6028,9.7017,1.9399,52.8224,445.024,93.6489,173.219,368.5736265625
2007-01-01,228.353,140.4895,67.5303,2.2668,3382.3602,24.7597,0.9209,1840.6412,165.6393,87.4053,16.1564,204.4121,66.1231,269.4542,798.89,56.4617,0.3843,0.0541,52.4964,324.5351,4.214,435.312,11723.8219,0.565,0.0492,10.3991,73.8304,127.549,884.985,145.1308,221.0246,4297.942,51.2431,196.4675,24.2303,9.6378,0.0092,1589.4789,1.7425,0.873,78.8,221.8321,2.0981,107.9,1104.5985,9.8792,0.8848,139.5785,157.2062,64.8241,284.4351,183.2015,75.0897,504.7869,23.5524,1599.5568,80.5869,21.241,1556.4852,0.1839,1.0101,1.293,795.702,42.4224,48.2185,142.0007,0.0,14.027,19.7477,0.1721,58.355,0.2648,172.32,0.0,6.6955,0.0783,150.6405,47.6356,85.6394,59.8725,570.5678,7123.9612,515.8617,323.9573,40.928,6.4052,14.624,535.5782,10.7865,3.3686,243.8302,337.9599,673.6946,70.5665,168.5712,0.3978,133.8608,1.1927,66.4276,3.2016,1.3015,7.5752,0.6284,43.2909,23.3152,83.6094,15.3119,37.4373,110.4152,28.6486,334.954,1826.4409,25.7359,285.3757,2.0449,697.9645,140.781,51.456,49.4792,0.0,0.28,28.8499,43.9809,78.5069,5.5978,282.3169,546.1514,220.7264,0.0115,348.819,76.0497,235.1803,807.0825,11.6496,1197.183,89.613,321.0403,123.4486,5.9295,489.9981,23.0718,28.866,120.0667,599.2801,1.3959,0.4799,0.2886,0.0,264.55,1799.2116,41.1166,15.5413,109.8077,0.0102,1.0285,11.4112,83.173,172.08,0.0835,2.5248,41.0082,37.0423,125.6923,20.745,0.0277,47.4598,536.8935,10.5221,323.0196,90.2273,124.6853,7.1991,0.7122,1.9378,31.4992,415.5547,8.4433,684.55,276.3334,545.894,716.864,6336.0,430.1149,0.3059,989.8494,329.3378,11.6084,1.9399,54.464,457.0135,82.842,175.063,370.3302828125
2008-01-01,249.805,143.4514,62.4443,2.386,3316.6378,25.1024,0.9308,1787.3992,165.5698,89.8933,16.2121,202.9378,67.8323,274.8425,800.848,54.1212,0.3004,0.054,51.1844,323.5428,4.6935,446.7917,11876.8481,0.6098,0.0525,9.3129,75.6591,123.186,862.9034,148.2088,232.1061,4326.355,52.7329,165.4015,24.1845,10.4383,0.0092,1596.4278,1.7426,0.9421,83.6527,223.8531,2.09,108.2195,1133.4178,9.8794,0.8849,140.4051,162.1441,65.3062,294.7203,186.6048,75.4651,462.9852,22.8765,1682.0,79.3628,21.4564,1565.8709,0.1735,1.0137,1.3105,779.916,41.5392,48.8407,149.6831,0.0,14.196,20.6129,0.1709,57.7358,0.2661,182.8236,0.0,6.6957,0.0775,153.2729,45.5882,85.9339,60.0645,609.9427,7103.6528,516.9723,287.8659,54.928,6.5026,15.36,547.6538,10.2215,3.3011,244.4912,346.8161,665.4714,73.674,173.0619,0.4276,144.3286,1.1859,68.7011,3.3408,1.319,7.576,0.6397,43.348,21.1809,79.1352,15.5955,38.6481,111.888,22.5942,338.36,1847.8293,25.4566,293.9371,2.0324,719.2246,138.4274,53.356,50.3172,0.0,0.281,31.4989,44.4452,84.614,5.5978,299.2559,547.1074,221.3494,0.0113,364.095,74.7649,236.7547,820.2456,11.7328,1242.33,94.1418,322.5637,123.4769,5.9324,494.1488,23.0003,28.837,122.3466,601.3165,1.3662,0.4799,0.2937,0.0,253.832,1789.6538,42.7985,15.7306,112.0483,0.0102,1.0285,13.6504,84.8245,171.216,0.0648,2.8287,40.4058,38.9429,125.5966,20.835,0.021,45.2,565.0715,10.5108,334.4709,106.7839,136.9599,7.3963,0.7122,1.9625,29.4488,418.4599,8.5938,700.9,413.0797,493.829,733.353,6322.171,454.3073,0.306,1004.7758,309.059,11.7673,1.94,56.256,458.3938,78.3655,173.938,373.16386718750005
2009-01-01,249.109,145.4014,58.8953,3.9055,3138.0407,23.2409,0.9291,1825.7635,165.7463,92.3756,18.8155,203.172,69.5771,280.3385,803.46,50.7596,0.3094,0.0541,50.8255,331.1532,5.2567,458.1341,12061.518,0.675,0.0475,10.3314,82.0193,125.949,821.4232,145.5936,225.3998,3725.559,54.0897,163.9146,24.1387,9.9575,0.0092,1591.4177,1.7427,0.9447,84.82,228.3927,2.0313,105.3752,1129.5855,9.8796,0.8849,139.276,166.1695,66.5879,312.4364,167.8708,75.8424,465.8391,22.2402,1772.7043,79.6042,21.3232,1541.7899,0.1782,1.0882,1.3105,771.375,40.8992,50.3615,157.8955,0.0,14.6017,21.3283,0.1708,57.8155,0.2671,193.2367,0.0,6.7499,0.0724,160.9854,44.602,85.9354,59.9013,634.9072,7088.3092,516.3666,307.8688,87.152,6.617,14.752,540.3213,9.7595,2.655,243.8924,356.0193,650.6758,79.7798,179.125,0.4273,154.053,1.3092,70.2109,3.0496,1.3402,8.075,0.6403,41.2392,20.9634,76.4247,15.7009,36.7326,111.0442,21.3064,341.06,1879.0146,24.4736,304.1075,1.7796,737.2161,144.3692,50.4654,59.9856,0.0,0.2796,32.7105,44.9209,82.372,5.5978,317.2112,555.4393,224.8388,0.0113,367.876,73.2952,239.7985,848.84,11.946,1289.137,95.2972,323.7799,124.3991,5.9353,484.6814,22.9443,28.866,121.7731,666.873,1.328,0.4864,0.4405,0.0,241.052,1748.5184,43.6316,16.0969,114.8713,0.0103,1.0285,16.465,80.9071,170.5228,0.0596,3.0894,39.2537,38.1139,123.6699,20.895,0.0151,44.3851,594.762,10.6854,332.8268,113.4294,136.0411,7.5637,0.7122,2.0059,30.7306,413.6485,8.4121,713.2,425.5321,454.0952,723.29,6237.578,487.8533,0.3125,1004.8843,298.1462,10.7805,2.5085,57.9134,455.3572,101.566,184.173,371.8035546875
