Country,ARIMA Order,ARIMA MAE,ARIMA RMSE,ARIMA R2,Prophet MAE,Prophet RMSE,Prophet R2,Better Model
Brazil,"(0, 1, 2)",248.475,261.632,-6.884,264.369,300.758,0.938,ARIMA
India,"(1, 1, 0)",219.839,248.384,-23.821,333.254,352.504,0.645,ARIMA
United States of America,"(0, 1, 1)",64.289,68.446,-103.941,384.072,388.217,-1.103,ARIMA
"China, mainland","(0, 1, 0)",83.302,101.797,-1.974,579.871,598.794,0.754,ARIMA
Argentina,"(2, 0, 2)",62.034,68.663,0.812,160.632,162.596,-0.107,ARIMA
Mexico,"(0, 1, 0)",81.978,89.274,-14.954,64.872,67.521,0.85,Prophet
Australia,"(0, 1, 0)",65.978,71.511,-14.358,162.245,176.25,0.033,ARIMA
Russian Federation,"(1, 1, 0)",37.523,40.583,-1.954,43.495,52.105,0.982,ARIMA
Ethiopia,"(1, 1, 1)",67.829,78.98,0.518,100.596,120.143,0.955,ARIMA
Colombia,"(0, 1, 0)",233.722,253.282,-9.76,400.614,430.003,-3.441,ARIMA
